CutTableBySelection,Measure Names,Measure Values
CAS 2018-C04 G2,California (%),8.989226038
CAS 2018-C03 G1,California (%),17.131752092
CAS 2018-C02 G2,California (%),7.146193484
CAS 2018-C01 G1,California (%),15.417592402
CAS 2017-C07 G2,California (%),7.049720004
CAS 2017-C07 G1,California (%),16.785151091
CAS 2017-C06 G2,California (%),7.114399256
CAS 2017-C06 G1,California (%),16.953441222
CAS 2017-C05 G1,California (%),19.020096832
CAS 2017-C04 G2,California (%),8.064366385
CAS 2017-C03 G1,California (%),18.634062834
CAS 2017-C02 G2,California (%),7.354583372
CAS 2017-C01 G1,California (%),19.968087999
CAS 2016-C07 G2,California (%),7.546194145
CAS 2016-C06 G1,California (%),17.162327051
CAS 2016-C05 G2,California (%),6.495323259
CAS 2016-C04 G1,California (%),17.235691284
CAS 2016-C03 G2,California (%),7.423292064
CAS 2016-C03 G1,California (%),20.863918060
CAS 2016-C02 G1,California (%),24.305005526
CAS 2016-C01 G2,California (%),7.409152105
CAS 2016-C01 G1,California (%),21.597531268
CAS 2015-C04 G2,California (%),6.411865608
CAS 2015-C04 G1,California (%),17.975255982
CAS 2015-C03 G2,California (%),6.245780950
CAS 2015-C03 G1,California (%),16.169747510
CAS 2015-C02 G2,California (%),6.960436064
CAS 2015-C02 G1,California (%),17.509774483
CAS 2015-C01 G2,California (%),5.621356569
CAS 2015-C01 G1,California (%),17.343200090
CAS 2014-C04 G2,California (%),7.562998723
CAS 2014-C04 G1,California (%),21.805495341
CAS 2014-C03 G2,California (%),9.696893456
CAS 2014-C03 G1,California (%),27.051048626
CAS 2014-C02 G2,California (%),10.861718453
CAS 2014-C02 G1,California (%),25.918405069
CAS 2014-C01,California (%),26.299067770
CAS 2013-C01,California (%),23.541878501
CAS 2020-R02 G2,Cashout (%),0
CAS 2020-R01 G1,Cashout (%),0
CAS 2019-R07 G1,Cashout (%),0
CAS 2019-R06 G2,Cashout (%),0
CAS 2019-R05 G1,Cashout (%),0
CAS 2019-R04 G2,Cashout (%),0
CAS 2019-R03 G1,Cashout (%),0
CAS 2019-R02 G1,Cashout (%),0
CAS 2019-R01 G2,Cashout (%),0
CAS 2019-HRP1,Cashout (%),0
CAS 2018-R07 G1,Cashout (%),0
CAS 2018-C06 G2,Cashout (%),0
CAS 2018-C06 G1,Cashout (%),0
CAS 2018-C05 G1,Cashout (%),0
CAS 2018-C04 G2,Cashout (%),0
CAS 2018-C03 G1,Cashout (%),0
CAS 2018-C02 G2,Cashout (%),0
CAS 2018-C01 G1,Cashout (%),0
CAS 2017-C07 G2,Cashout (%),0
CAS 2017-C07 G1,Cashout (%),0
CAS 2017-C06 G2,Cashout (%),0
CAS 2017-C06 G1,Cashout (%),0
CAS 2017-C05 G1,Cashout (%),0
CAS 2017-C04 G2,Cashout (%),0
CAS 2017-C03 G1,Cashout (%),0
CAS 2017-C02 G2,Cashout (%),0
CAS 2017-C01 G1,Cashout (%),0
CAS 2016-C07 G2,Cashout (%),0
CAS 2016-C06 G1,Cashout (%),0
CAS 2016-C05 G2,Cashout (%),0
CAS 2016-C04 G1,Cashout (%),0
CAS 2016-C03 G2,Cashout (%),0
CAS 2016-C03 G1,Cashout (%),0
CAS 2016-C02 G1,Cashout (%),0
CAS 2016-C01 G2,Cashout (%),0
CAS 2016-C01 G1,Cashout (%),0
CAS 2015-C04 G2,Cashout (%),0
CAS 2015-C04 G1,Cashout (%),0
CAS 2015-C03 G2,Cashout (%),0
CAS 2015-C03 G1,Cashout (%),0
CAS 2015-C02 G2,Cashout (%),0
CAS 2015-C02 G1,Cashout (%),0
CAS 2015-C01 G2,Cashout (%),0
CAS 2015-C01 G1,Cashout (%),0
CAS 2014-C04 G2,Cashout (%),0
CAS 2014-C04 G1,Cashout (%),0
CAS 2014-C03 G2,Cashout (%),0
CAS 2014-C03 G1,Cashout (%),0
CAS 2014-C02 G2,Cashout (%),0
CAS 2014-C02 G1,Cashout (%),0
CAS 2014-C01,Cashout (%),0
CAS 2013-C01,Cashout (%),0
CAS 2020-R02 G2,Investor (%),0
CAS 2020-R01 G1,Investor (%),0
CAS 2019-R07 G1,Investor (%),0
CAS 2019-R06 G2,Investor (%),0
CAS 2019-R05 G1,Investor (%),0
CAS 2019-R04 G2,Investor (%),0
CAS 2019-R03 G1,Investor (%),0
CAS 2019-R02 G1,Investor (%),0
CAS 2019-R01 G2,Investor (%),0
CAS 2019-HRP1,Investor (%),0
CAS 2018-R07 G1,Investor (%),0
